OBJECTID,AREA_NAME,HOOD_ID,POPN_PROJ_2022,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,Shape__Area,Shape__Length
11,East Willowdale,152,17974,43,34,53,47,46,52,40,53,58,271.911,213.0593,328.621,284.8312,271.5947,300.387,227.9982,299.8416,322.6883,17,19,32,14,14,29,23,44,43,107.4997,119.0625,198.4127,84.84335,82.65926,167.5235,131.099,248.9251,248.9251,7,9,15,6,1,4,16,12,8,44.26458,56.39804,93.00595,36.36143,5.904233,23.1067,91.19927,67.88866,67.88866,69,58,54,73,56,54,36,26,40,436.3222,363.4541,334.8214,442.3974,330.6371,311.9404,205.1984,147.0921,222.5437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,14,30,32,23,18,9,12,88.52915,86.80556,181.8072,188.9355,132.8635,102.5992,50.9165,66.7631,119.0625,1,0,0,0,1,2,2,1,2,6.323511,0,0,0,5.904233,11.55335,11.39991,5.657389,11.12718,25,20,35,36,37,45,48,53,25,158.0878,125.329,217.0139,218.1686,218.4566,259.9503,273.5978,299.8416,139.0898,3,4,3,6,3,9,4,5,13,18.97053,25.0658,18.60119,36.36143,17.7127,51.99006,22.79982,28.28694,72.32669,3513794.24975586,7758.01610045231
12,Yonge-Doris,151,22946,69,71,78,85,86,81,64,77,83,320.1856,328.5364,359.1491,385.61,384.1,357.5212,281.0839,338.3426,361.7188,7,5,4,10,19,29,22,39,42,32.4826,23.13637,18.4179,45.36588,84.85931,128.0014,96.6226,171.3683,171.3683,12,15,18,9,13,12,26,14,28,55.68446,69.4091,82.88056,40.82929,58.06163,52.9661,114.1903,61.51683,61.51683,8,8,12,10,7,22,27,19,17,37.12297,37.01818,55.25371,45.36588,31.26396,97.10452,118.5823,83.48713,74.08699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,25,14,26,19,12,29,7,32.4826,115.1119,63.51223,116.1233,83.86299,52.70324,127.4277,30.50641,50.90001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,17,22,25,75,88,81,14,64.96519,50.90001,78.27608,99.80492,111.657,331.0381,386.4904,355.9188,61.01281,4,5,5,7,6,15,10,9,14,18.56149,23.13637,23.02238,31.75611,26.79768,66.20763,43.91936,39.54653,61.01281,471717.026123047,4845.44820926561
13,Fenside-Parkwoods,150,22516,106,101,120,96,90,104,112,84,103,494.2647,472.8907,562.931,444.0128,409.9107,467.731,501.0962,375.9567,457.4525,19,16,17,29,10,21,21,33,33,88.59461,74.91338,79.74856,134.1289,45.54564,94.44569,93.95553,147.6973,147.6973,1,4,8,8,2,4,2,5,3,4.662874,18.72835,37.52873,37.00106,9.109127,17.98966,8.948146,22.37837,22.37837,45,35,24,31,44,34,24,20,11,209.8293,163.873,112.5862,143.3791,200.4008,152.9121,107.3777,89.5135,48.85415,0,0,0,0,1,1,0,1,0,0,0,0,0,4.554564,4.497414,0,4.475675,0,5,17,22,28,16,24,5,8,9,23.31437,103.204,129.5037,72.87302,107.9379,22.37036,35.8054,39.97158,79.59547,0,2,2,5,1,1,3,2,3,0,9.364173,9.382183,23.12567,4.554564,4.497414,13.42222,8.951349,13.32386,55,53,44,53,24,74,49,45,55,256.4581,248.1506,206.408,245.132,109.3095,332.8086,219.2296,201.4054,244.2707,5,3,2,5,3,2,1,4,2,23.31437,14.04626,9.382183,23.12567,13.66369,8.994828,4.474073,17.9027,8.882572,3315516.38037109,10299.7153179893
14,Parkwoods-O'Connor Hills,149,14742,46,45,49,57,46,56,37,51,62,318.4934,311.8936,339.1238,391.3491,312.6912,377.8168,249.8818,346.7501,420.5671,16,18,10,17,9,8,23,20,37,110.7803,124.7574,69.20894,116.7182,61.17871,53.97382,155.3319,135.9804,135.9804,1,1,1,9,4,2,2,3,0,6.923769,6.930967,6.920894,61.79197,27.19054,13.49346,13.50712,20.39706,20.39706,25,26,22,35,34,34,24,17,18,173.0942,180.2052,152.2597,240.3021,231.1196,229.3887,162.0855,115.5834,122.1001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.753562,0,0,7,1,11,18,5,10,4,15,7,48.46638,76.12984,123.5839,33.98817,67.46728,27.01425,101.9853,47.48338,6.930967,1,0,1,2,0,0,2,2,2,6.923769,0,6.920894,13.73155,0,0,13.50712,13.59804,13.56668,37,43,44,50,32,29,36,29,37,256.1795,298.0316,304.5193,343.2887,217.5243,195.6551,243.1283,197.1716,250.9836,1,3,1,5,4,3,1,1,1,6.923769,20.7929,6.920894,34.32887,27.19054,20.24018,6.753562,6.799021,6.78334,4146976.76904297,11283.2780295257
15,East L'Amoreaux,148,23665,59,90,83,86,75,92,104,79,77,259.6717,399.9289,371.6473,379.5736,325.3091,393.9368,443.0056,336.6286,325.375,7,8,13,11,13,13,14,18,45,30.8085,35.54924,58.20982,48.55012,56.3869,55.66498,59.63537,76.70019,76.70019,0,2,2,2,4,2,1,2,3,0,8.887309,8.955358,8.827294,17.34982,8.563844,4.259669,8.522243,8.522243,35,50,20,33,35,40,23,14,24,154.0425,222.1827,89.55357,145.6503,151.8109,171.2769,97.9724,59.6557,101.4156,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31,16,17,15,21,45,11,7,7,136.4377,76.12054,66.2047,91.08653,192.6865,46.85637,29.82785,29.57955,71.09847,1,1,2,1,1,3,3,2,2,4.401215,4.443655,8.955358,4.413647,4.337454,12.84577,12.77901,8.522243,8.4513,44,32,28,26,34,26,34,17,44,193.6534,142.1969,125.375,114.7548,147.4734,111.33,144.8288,72.43906,185.9286,3,7,2,3,6,2,2,4,11,13.20364,31.10558,8.955358,13.24094,26.02472,8.563844,8.519339,17.04449,46.48215,3694316.33666992,8619.11864586503
16,L'Amoreaux West,147,23987,68,73,93,100,88,107,82,101,95,299.8501,324.2715,414.9563,439.2708,379.523,454.6034,345.8019,425.1736,396.0479,11,12,15,14,19,26,20,18,28,48.50516,53.3049,66.92843,61.49791,81.94247,110.4644,84.34192,75.77352,75.77352,2,1,5,7,7,6,5,7,3,8.819119,4.442075,22.30948,30.74896,30.18933,25.49178,21.08548,29.46748,29.46748,33,34,30,40,41,46,25,17,17,145.5155,151.0306,133.8569,175.7083,176.8232,195.437,105.4274,71.56388,70.87172,1,0,1,1,0,0,3,0,1,4.409559926,0,4,4,0,0,12.65129,0,4.168925,24,22,22,27,22,20,16,8,10,105.8294,98.1617,118.6031,94.88075,84.9726,67.47354,33.67712,41.68925,97.72565,1,3,5,11,6,6,8,3,4,4.40956,13.32623,22.30948,48.31979,25.87657,25.49178,33.73677,12.62892,16.6757,35,35,24,32,32,32,39,37,35,154.3346,155.4726,107.0855,140.5667,138.0084,135.9562,164.4668,155.7567,145.9124,1,2,2,3,3,0,3,3,5,4.40956,8.884151,8.923791,13.17812,12.93828,0,12.65129,12.62892,20.84462,3460788.23950195,8739.66536052357
17,Malvern East,146,27821,141,193,173,182,177,217,167,142,128,518.268,717.5255,649.2288,675.45,647.4031,784.8953,602.5618,513.5438,460.0841,18,13,18,27,35,40,42,43,45,66.16187,48.33073,67.54982,100.2041,128.0176,144.6812,151.5425,155.5098,155.5098,5,4,5,3,2,2,3,7,1,18.3783,14.87099,18.76384,11.13379,7.315289,7.234058,10.82446,25.31554,25.31554,29,22,41,23,33,15,14,20,16,106.5941,81.79047,153.8635,85.35906,120.7023,54.25544,50.51416,72.33012,57.51051,0,0,4,2,1,0,1,1,1,0,0,15,7,3.657645,0,3.608155,3.616506,3.594407,24,28,31,34,32,23,17,22,18,88.21584,116.3358,126.183,117.0446,83.19167,61.33863,79.56313,64.69933,104.097,2,4,9,6,7,5,10,4,5,7.35132,14.87099,33.77491,22.26758,25.60351,18.08514,36.08154,14.46602,17.97204,29,20,27,52,26,36,61,26,29,106.5941,74.35497,101.3247,192.9857,95.09875,130.213,220.0974,94.02915,104.2378,6,1,2,3,5,3,4,2,8,22.05396,3.717749,7.505535,11.13379,18.28822,10.85109,14.43262,7.233011,28.75526,4832296.86425781,12117.7806233713
18,Malvern West,145,19219,78,90,107,111,101,118,72,89,85,417.3131,485.0967,579.8829,595.3339,534.1089,617.058,375.4693,465.5542,442.2707,7,18,18,30,27,38,24,22,54,37.45118,97.01935,97.5504,160.901,142.7816,198.7136,125.1564,115.0808,115.0808,2,3,3,4,2,5,4,1,3,10.70034,16.16989,16.2584,21.45347,10.57642,26.14652,20.85941,5.230946,5.230946,34,21,24,12,31,29,11,14,8,181.9057,113.1892,130.0672,64.36042,163.9344,151.6498,57.36337,73.23325,41.62547,0,0,0,0,2,1,0,2,0,0,0,0,0,10.57642,5.229305,0,10.46189,0,15,20,32,31,21,25,7,20,13,80.25253,173.4229,166.2644,111.0524,130.7326,36.50396,104.6189,67.6414,107.7993,2,3,1,2,4,8,5,6,2,10.70034,16.16989,5.419466,10.72674,21.15283,41.83444,26.07426,31.38568,10.40637,39,32,38,41,42,45,31,24,39,208.6566,172.4789,205.9397,219.8981,222.1047,235.3187,161.6604,125.5427,202.9242,4,3,6,4,11,6,2,2,3,21.40067,16.16989,32.5168,21.45347,58.17028,31.37583,10.4297,10.46189,15.60955,4029796.06762695,9154.55332585361
19,Morningside Heights,144,27737,103,121,90,105,110,113,82,86,101,389.2374,457.9864,340.2518,392.3767,404.4266,410.9091,297.1984,312.2617,364.1346,31,24,16,25,47,57,43,76,124,117.1491,90.84027,60.48921,93.42302,172.8005,207.2727,155.8479,275.9522,275.9522,3,3,1,1,2,1,0,4,2,11.33701,11.35503,3.780576,3.736921,7.353211,3.636364,0,14.5238,14.5238,40,40,42,30,45,36,19,25,24,151.1602,151.4005,158.7842,112.1076,165.4473,130.9091,68.86304,90.77376,86.52702,1,0,0,4,0,0,0,2,0,3.779003855,0,0,15,0,0,0,7.2619,0,15,27,26,24,18,12,18,12,27,56.68506,98.29496,89.6861,66.1789,43.63636,65.23866,43.5714,97.3429,102.1953,2,5,5,8,2,3,4,3,2,7.558008,18.92506,18.90288,29.89537,7.353211,10.90909,14.49748,10.89285,7.210585,43,41,41,67,52,47,76,56,43,162.4972,155.1855,155.0036,250.3737,191.1835,170.9091,275.4521,203.3332,155.0276,7,6,11,7,11,9,7,7,14,26.45303,22.71007,41.58633,26.15845,40.44267,32.72727,25.37059,25.41665,50.47409,28954808.3056641,24951.3249803541
20,West Rouge,143,22165,84,60,61,90,86,75,66,66,61,399.4294,285.6599,290.3379,422.7734,397.6143,342.2626,299.8501,299.9182,275.2086,30,29,7,9,14,32,20,38,64,142.6534,138.0689,33.31747,42.27734,64.72791,146.032,90.86366,172.6802,172.6802,7,4,12,7,20,8,7,3,4,33.28578,19.04399,57.11566,32.88237,92.46844,36.50801,31.80228,13.63265,13.63265,36,33,34,41,36,23,19,22,22,171.184,157.1129,161.8277,192.5968,166.4432,104.9605,86.32047,99.97273,99.25558,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.543183,4.544215,0,12,7,9,20,14,23,26,7,14,57.06134,42.83675,93.94965,64.72791,104.9605,118.1228,31.80951,63.16264,33.32698,0,1,1,0,1,3,2,6,3,0,4.760998,4.759638,0,4.623422,13.6905,9.086366,27.26529,13.53485,66,30,41,65,56,40,53,31,66,313.8374,142.8299,195.1452,305.3363,258.9117,182.54,240.7887,140.8707,297.7668,3,2,3,5,5,4,3,4,4,14.26534,9.521996,14.27891,23.48741,23.11711,18.254,13.62955,18.17686,18.04647,8582951.80004883,19556.4297320991
21,Woburn North,142,29170,148,170,173,178,177,210,181,178,184,530.6942,610.8955,622.1455,631.8555,619.4225,726.543,623.2353,614.7258,630.785,26,16,22,22,24,40,63,57,107,93.23006,57.49605,79.11677,78.0945,83.9895,138.3891,216.9272,196.8504,196.8504,5,3,2,8,5,4,0,4,9,17.92886,10.78051,7.192433,28.398,17.49781,13.83891,0,13.81406,13.81406,65,88,42,38,61,60,25,28,35,233.0752,316.2283,151.0411,134.8905,213.4733,207.5837,86.08222,96.69844,119.9863,1,0,0,0,0,0,1,0,2,3.585771658,0,0,0,0,0,3.443289,0,6.856359,42,38,33,52,36,19,26,10,23,150.6024,118.6752,184.587,125.9843,65.73485,89.52551,34.53516,78.84813,136.5531,1,3,2,4,4,2,2,7,7,3.585772,10.78051,7.192433,14.199,13.99825,6.919457,6.886578,24.17461,23.99726,61,59,55,67,81,99,80,78,61,218.7321,212.0167,197.7919,237.8332,283.4646,342.5132,275.4631,269.3742,209.119,8,8,9,13,10,4,13,8,12,28.68617,28.74802,32.36595,46.14675,34.99562,13.83891,44.76276,27.62813,41.13816,6299193.64990234,13078.7346685838
22,Golfdale-Cedarbrae-Woburn,141,28351,207,227,195,228,200,226,168,184,198,765.5042,842.7697,725.3925,836.7587,722.2042,806.0202,596.358,653.3627,698.3881,22,19,10,26,35,21,37,50,75,81.35794,70.54019,37.19961,95.41985,126.3857,74.89568,131.3407,177.5442,177.5442,7,4,15,10,3,2,3,2,2,25.88662,14.85057,55.79942,36.69994,10.83306,7.132922,10.64925,7.101768,7.101768,55,58,38,48,38,40,40,26,29,203.3949,215.3332,141.3585,176.1597,137.2188,142.6584,141.99,92.32299,102.2892,2,3,1,0,0,0,1,2,1,7.396176177,11,4,0,0,0,3.54975,7.101768,3.527212,43,53,38,74,41,47,28,21,16,159.0178,141.3585,271.5796,148.0518,167.6237,99.39299,74.56857,56.4354,196.77,1,3,2,3,8,11,12,13,7,3.698088,11.13792,7.439923,11.00998,28.88817,39.23107,42.597,46.1615,24.69049,36,56,49,48,68,62,64,61,36,133.1312,207.9079,182.2781,176.1597,245.5494,221.1206,227.184,216.6039,126.9796,3,5,5,10,4,4,4,5,8,11.09426,18.56321,18.59981,36.69994,14.44408,14.26584,14.199,17.75442,28.2177,6035002.04467773,13482.5568261278
23,Guildwood,140,10277,51,39,44,44,47,30,37,37,37,515.2556,394.5771,444.8488,440,463.9684,293.1119,360.4832,361.6106,360.0273,2,0,4,5,2,3,11,13,9,20.2061,0,40.4408,50,19.74334,29.31119,107.1707,127.0524,127.0524,3,2,6,2,1,2,4,0,2,30.30915,20.23472,60.66121,20,9.871668,19.54079,38.97116,0,0,13,20,18,10,16,10,3,7,6,131.3397,202.3472,181.9836,100,157.9467,97.70396,29.22837,68.41282,58.3828,0,0,0,0,0,1,0,2,0,0,0,0,0,0,9.770395,0,19.54652,0,16,6,8,10,5,7,3,4,6,161.6488,80.88161,100,49.35834,68.39277,29.22837,39.09304,58.3828,60.70417,0,0,0,0,2,0,1,0,1,0,0,0,0,19.74334,0,9.74279,0,9.730466,23,59,31,40,28,28,34,33,23,232.3702,596.9243,313.4162,400,276.4067,273.5711,331.2549,322.5176,223.8007,1,2,1,4,1,1,1,0,2,10.10305,20.23472,10.1102,40,9.871668,9.770395,9.74279,0,19.46093,3806075.70043945,9795.21495886337
24,Scarborough Village,139,17532,161,152,191,149,179,174,180,120,153,948.0068,897.3905,1127.842,870.4796,1033.07,994.9111,1027.221,687.1278,872.6899,20,15,9,21,20,20,23,26,25,117.7648,88.55827,53.14437,122.6851,115.4268,114.3576,131.2561,148.8777,148.8777,2,2,2,7,0,2,9,5,9,11.77648,11.80777,11.80986,40.89502,0,11.43576,51.36107,28.63033,28.63033,50,48,34,32,45,40,28,22,20,294.412,283.3865,200.7676,186.9487,259.7103,228.7152,159.79,125.9734,114.0771,1,0,6,1,0,0,1,0,0,5.888241182,0,35,6,0,0,5.706785,0,0,30,34,25,24,11,28,17,15,10,176.6472,147.6233,140.2115,63.48473,160.1006,97.01535,85.89098,57.03856,200.7321,1,2,3,5,2,6,3,3,1,5.888241,11.80777,17.71479,29.21073,11.54268,34.30728,17.12036,17.1782,5.703856,56,24,35,47,53,56,90,62,56,329.7415,141.6932,206.6726,274.5808,305.881,320.2013,513.6107,355.016,319.4159,3,2,2,4,4,2,7,6,8,17.66472,11.80777,11.80986,23.36858,23.08536,11.43576,39.9475,34.35639,45.63085,3151549.05102539,7924.29723725596
25,Eglinton East,138,23963,185,178,205,204,185,197,146,161,174,801.664,775.0925,894.7277,880.069,786.364,828.3924,611.6464,675.5339,726.1194,19,21,22,29,11,27,33,41,44,82.33306,91.4435,96.01955,125.1078,46.75678,113.536,138.2488,172.0304,172.0304,1,3,2,5,1,5,11,2,7,4.333319,13.06336,8.729051,21.57032,4.250617,21.02519,46.08295,8.391726,8.391726,41,76,65,56,45,58,23,30,39,177.6661,330.9384,283.6941,241.5876,191.2777,243.8922,96.35526,125.8759,162.7509,0,0,0,1,1,2,2,3,1,0,0,0,4,4.250617,8.410075,8.378718,12.58759,4.1731,66,46,43,37,35,29,21,16,25,285.9991,187.6746,159.6204,148.7716,121.9461,87.97654,67.1338,104.3275,200.3048,4,2,3,11,2,6,11,8,6,17.33327,8.708905,13.09358,47.4547,8.501233,25.23023,46.08295,33.5669,25.0386,29,48,42,53,67,63,92,50,29,125.6662,209.0137,183.3101,228.6454,284.7913,264.9174,385.421,209.7931,121.0199,8,3,6,1,6,8,8,1,9,34.66655,13.06336,26.18715,4.314064,25.5037,33.6403,33.51487,4.195863,37.5579,3223275.53662109,10015.4755155681
26,West Hill,136,28941,348,396,422,401,422,439,336,328,383,1262.333,1432.965,1520.611,1429.488,1482.574,1525.63,1164.281,1139.324,1323.382,24,18,15,32,27,46,55,74,61,87.05746,65.1348,54.05016,114.0739,94.85666,159.861,190.5818,257.0426,257.0426,16,16,25,13,7,12,11,18,17,58.0383,57.89759,90.0836,46.34251,24.59247,41.70287,38.11636,62.52388,62.52388,89,66,72,87,103,77,57,71,45,322.8381,238.8276,259.4408,310.1383,361.8606,267.5934,197.512,246.622,155.4888,0,2,0,0,1,2,2,0,1,0,7,0,0,3.51321,6.950478,6.930247,0,3.455306,63,64,77,65,50,72,36,43,63,228.5258,277.4575,231.7125,175.6605,250.2172,124.7444,149.3626,217.6842,231.5904,0,1,6,3,5,9,7,5,7,0,3.6186,21.62006,10.69442,17.56605,31.27715,24.25587,17.36774,24.18714,59,67,64,110,77,57,128,141,59,214.0163,242.4462,230.614,392.1289,270.5172,198.0886,443.5358,489.7704,203.863,7,6,8,10,5,4,9,4,13,25.39176,21.7116,28.82675,35.64808,17.56605,13.90096,31.18611,13.8942,44.91897,9625560.30126953,14978.349421616
27,Morningside,135,18335,121,140,163,159,135,177,106,83,127,678.5934,789.3105,921.7893,890.3074,746.0624,968.5363,578.6974,454.7696,692.6643,21,17,14,12,12,8,32,32,52,117.7724,95.84484,79.17209,67.19301,66.31667,43.77565,174.7011,175.3329,175.3329,5,3,3,0,1,1,0,0,1,28.04105,16.9138,16.96545,0,5.526389,5.471956,0,0,0,30,21,19,16,19,17,18,16,11,168.2463,118.3966,107.4478,89.59068,105.0014,93.02325,98.26937,87.66643,59.99454,0,1,0,0,1,1,1,0,1,0,6,0,0,5.526389,5.471956,5.459409,0,5.45405,17,23,10,19,13,18,8,5,17,95.33958,56.55149,106.3889,71.84305,98.49521,43.67527,27.39576,92.71884,129.6724,2,0,1,1,1,3,8,3,7,11.21642,0,5.655149,5.599418,5.526389,16.41587,43.67527,16.43746,38.17835,25,34,20,36,34,34,27,21,25,140.2053,191.6897,113.103,201.579,187.8972,186.0465,147.4041,115.0622,136.3512,1,1,0,2,2,4,2,1,4,5.608211,5.637932,0,11.19884,11.05278,21.88783,10.91882,5.479152,21.8162,5740235.75439453,13214.7857717037
28,Highland Creek,134,13657,52,51,71,68,50,63,33,42,60,395.6178,392.9727,553.3043,522.6749,376.7898,468.3667,244.2274,310.4213,439.3351,25,11,8,14,20,27,15,30,41,190.2009,84.75882,62.34414,107.6095,150.7159,200.7286,111.0124,221.7295,221.7295,14,11,15,2,0,3,0,0,3,106.5125,84.75882,116.8953,15.37279,0,22.30317,0,0,0,28,36,35,29,30,33,14,5,14,213.0249,277.3925,272.7556,222.9055,226.0739,245.3349,103.6116,36.95491,102.5115,0,1,0,0,0,1,0,1,0,0,8,0,0,0,7.434391,0,7.390983,0,18,31,11,17,5,14,2,2,2,136.9446,85.72319,130.6687,37.67897,104.0815,14.80166,14.78197,14.6445,238.8658,0,2,0,1,2,0,0,0,0,0,15.4107,0,7.686395,15.07159,0,0,0,0,27,27,32,52,21,44,46,24,27,205.4169,208.0444,249.3766,399.6925,158.2517,327.1132,340.4381,177.3836,197.7008,3,5,1,1,3,1,2,1,2,22.8241,38.52674,7.793017,7.686395,22.60739,7.434391,14.80166,7.390983,14.6445,5248155.96875,9914.98837903256
29,Centennial Scarborough,133,14505,50,38,48,46,44,49,47,37,39,365.7644,277.8387,350.1605,331.1497,311.042,342.2983,326.7292,257.2303,268.8728,8,7,5,9,10,22,10,22,25,58.52231,51.18081,36.47505,64.79015,70.69136,153.685,69.51686,152.9477,152.9477,1,2,6,4,6,3,3,0,0,7.315289,14.62309,43.77006,28.79562,42.41482,20.95704,20.85506,0,0,13,15,18,23,16,29,8,5,21,95.09875,109.6732,131.3102,165.5748,113.1062,202.5847,55.61349,34.76085,144.7777,0,0,0,1,1,0,0,0,0,0,0,0,7,7.069136,0,0,0,0,9,3,11,12,6,1,3,6,0,65.8376,80.24511,86.38687,42.41482,6.985679,20.85506,41.71301,0,21.93464,0,0,2,0,2,0,1,0,0,0,0,14.59002,0,14.13827,0,6.951686,0,0,35,13,47,44,29,33,40,36,35,256.0351,95.05009,342.8655,316.7519,205.0049,230.5274,278.0674,250.2781,241.2961,1,1,1,4,2,3,1,2,4,7.315289,7.311545,7.29501,28.79562,14.13827,20.95704,6.951686,13.90434,27.5767,5468418.97143555,12073.7931250162
30,Milliken,130,28134,68,86,88,77,75,97,85,64,67,249.523,318.2003,327.6491,283.3904,272.0151,347.6204,303.5497,228.9967,238.146,39,43,35,61,91,85,71,80,99,143.1088,159.1002,130.315,224.5041,330.045,304.6158,253.5533,286.2459,286.2459,2,2,0,3,4,3,1,8,1,7.338911,7.400007,0,11.04118,14.50747,10.75115,3.571173,28.62459,28.62459,102,117,67,113,120,132,60,89,63,374.2845,432.9004,249.4601,415.8846,435.2242,473.0504,214.2704,318.4485,223.9283,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3.583716,0,3.578074,3.554418,39,37,40,29,17,35,32,16,34,143.1088,148.9314,106.7314,61.65675,125.43,114.2775,57.24918,120.8502,136.9001,0,2,1,0,2,1,1,6,4,0,7.400007,3.723285,0,7.253736,3.583716,3.571173,21.46844,14.21767,67,65,43,75,76,85,84,67,67,245.8535,240.5002,160.1013,276.0296,275.642,304.6158,299.9786,239.7309,238.146,16,14,9,19,18,22,12,8,12,58.71129,51.80005,33.50957,69.9275,65.28362,78.84174,42.85408,28.62459,42.65302,9478036.38964844,16781.6325314352
